Colegio-Estudiante,School,APre1_2,%_veracidad_1,APre3,%_veracidad_3,APre4,%_veracidad_4,BPre1_2,%_veracidad_1_b,BPre3,%_veracidad_3_b,BPre4,%_veracidad_3_b
ColoPi11,Pil,"caballitos de mar el macho lleva los bebés 

reproduce huevos afuera 

dentro de la mamá ovíparos ",0.5,esconden los huevos para protegerlos ,1,avestruz tiburón cebra tiburón blanco ,0.00%,De la mamá ,0.5,para que no se los lleve las aves ,0.75,que los huevos de los peces son pequeños y los huevos de los pájaros son más grandes ,0.5
ColPi12,Pil,"se reproducen en huevos, se reproducen dentro de la mamá 

Ovíparos ",0.75,0,0,0,0.00%,Es formas huevos externa reproducción interna ,0.75,Para protegerlos ,1,1 más diferentes que los otros ,0.25
ColQuial1,Quial,"interna externa 

que no es una sino dos 
",0.5,para que no se los coman ,1,0,0.00%,"Huevo 

nacen como los niños ",0.75,porque los pueden matar los animales acuáticos se lo pueden comer ,1,son más grandes los de las gallinas los de los peces son babosos ,0.5
ColQuial2,Quial,"los peces se reproducen interno y externo  
",0.75,para que se cuiden los huevos ,0.5,0,0.00%,los peces nacen de huevo ,0.5,porque es peligroso que se los coman como las serpientes ,1,los huevos de gallina son grandes y los de los peces son pequeños ,0.5
ColQuial3,Quial,los peces se reproducen de la interna y externa de la madre y los huevos ,0.75,0,0, los huevos son más grandes que otros,50.00%,nacen como los niños ,0.5,es muy importante esconder los huevos porque otros peces no se los coman y cuidarlos ,1,por qué hay otros más grandes que de los peces ,0.5
ColQuial4,Quial,los peces reproducen en huevos o en el vientre de la madre ,0.75,"
es para que los peces no se los coman ",1,0,0.00%,"los peces nacen de huevos , como los humanos, como los caballitos de mar ",0.75,para que no llegue un depredador y se los coman ,1,que los peces son pequeños y los de las gallinas son grandes,0.5
ColQuial5,Quial,"los peces se reproducen externa y externa 
",0.75,para que no se los coman ,1,0,0.00%,los peces nacen de bolitas pequeñitas ,0,escondidas por los padres para que no se los coman ,1,los huevos de las gallinas son más grandes y lo de los peces son más pequeños ,0.5
ColQuial6,Quial,"Los peces se reproducen de 2 maneras interna y externa  
",0.75,para que depredadores como tiburones no se los coman,1,0,0.00%,los peces nacen de huevos ,0.5,porque para que no se los coman ,1,son más grandes pez ,0.5
ColQuial7,Quial,"reproducción externa 

Se fecunda externa ",0.75,0,0,0,0.00%,"los peces nacen huevos, como los caballitos de mar ",0.5,"para proteger a sus crías, para que los depredadores no coman los peces ",1,pues los huevos de gallina son más grandes pero los huevos de pez son más aguados ,0.5
ColQuial8,Quial,los peces reproducen de 2 formas interna externa ,0.75,0,0,los huevos tienen una capa ,50.00%,nacen de huevos ,0.5,porque algunos peces no se los coman ,1,los de peces son más pegajosos y los de gallina no ,0.25
ColQuial9,Quial,"los peces se reproducen de 2 formas del interior de su madre, de un huevo ",0.75,los papás esconden los huevos porque se los pueden comer ,1,0,0.00%,"los peces nacen de huevos, como los caballitos de mar ",0.5,porque un depredador se los puede comer ,1,el tamaño y el color  ,1
ColQuial10,Quial,los peces se reproducen por el interior de la madre o por un huev,0.75,porque los pueden comer unos animales ,1,0,0.00%,los peces nacen de huevos ,0.5,porque los matan ,1,diferentes tipos de huevos por su forma y textura ,1
ColQuial11,Quial,"los puedes reproducen de 2 formas 

los huevos no están dentro de la mamá 

nacen de la mamá ",0.5,esconden los huevos para protegerlos más ,1,0,0.00%,"los peces nacen de huevos y como los niños, los caballitos de mar ",0.75,es importante los padres esconden los huevos para proteger a sus crías porque las matan y no se lo coman los tiburones ,1,0,0
ColQuial12,Quial,los peces no hacen de 2 maneras de la forma exterior y interior ,0.75,0,0,0,0.00%,los peces nacen de un huevo que si se les hace una pequeña grieta el pez hace como una extremidad un poco deforme ,0.75,es importante proteger los huevos porque si no los demás peces se los comen y así ,1,Los peces son como babosos y los terrestres casi siempre son más grandes y los de la gallina se pueden comer ,0.5
ColQuial13,Quial,los Peces reproducen de 2 formas huevos y externa ,0.75,porque si no se los comen ,,0,0.00%,los peces nacen por huevos ,0.5,para que no se los coman ,1,los de los peces son transparentes y son pequeños pero los de gallina son grandes ,1
ColQuial14,Quial,"Los puedes reproducen forma 1 huevos forma dos como los niños, la forma 1 es externa 
",0.75,"
para que no se los coman ",1,0,0.00%,"los peces nacen de un huevo, como los caballitos de mar como los niños ",0.75,los depredadores sino se los comen y sin crías ,1,"Un pez va a tener un huevo chiquito, el pájaro 1 grande y no se ve dentro la diferencia de un pez que sus huevos van a salir transparentes ",1
ColQuial15,Quial,Para mí los peces se reproducen desde la barriga de la hembra ,0.25,es importante que los cuiden porque si no llega un depredador y se los comen ,1,0,0.00%,Los peces nacen de muchas formas de un huevo ,0.5,Es importante porque Si no los esconden llega un depredador y se los come ,1,"qué tipo de huevos he visto avestruces,pájaros ",0
